,Time Stamp,energy,harmonic,ugap,dcm-pitch,dcm-r,hfm-pitch,IC1,FE-XBPM
0,2022+AC0-05+AC0-26 17:42:51.253183,6,3,6645.952,0.91156,#NAME?,1.27407,2801,#NAME?
1,2022+AC0-05+AC0-26 17:46:07.126318,6.25,3,6862.288,0.91497,#NAME?,1.26893,2801,#NAME?
2,2022+AC0-05+AC0-26 17:49:24.521183,6.5,3,7071.081,0.91931,#NAME?,1.2691,2801,#NAME?
3,2022+AC0-05+AC0-26 17:52:40.320950,6.75,3,7293.088,0.92303,#NAME?,1.26926,2801,#NAME?
4,2022+AC0-05+AC0-26 17:55:54.824666,7,3,7508.889,0.92737,#NAME?,1.26959,2801,#NAME?
5,2022+AC0-05+AC0-26 17:59:08.043610,7.25,3,7739.291,0.93047,#NAME?,1.27092,2801,#NAME?
6,2022+AC0-05+AC0-26 18:02:31.518343,7.5,5,5390.401,0.93357,#NAME?,1.27125,2801,#NAME?
7,2022+AC0-05+AC0-26 18:05:43.939522,7.75,5,5494.381,0.93698,0.01062,1.27291,2801,#NAME?
8,2022+AC0-05+AC0-26 18:08:57.080838,8,5,5627.681,0.93419,0.01062,1.27324,2801,#NAME?
9,2022+AC0-05+AC0-26 18:12:10.066603,8.25,5,5750.379,0.9376,0.01062,1.26893,2801,#NAME?
10,2022+AC0-05+AC0-26 18:15:21.813387,8.5,5,5882.69,0.94132,0.01062,1.27042,2801,#NAME?
11,2022+AC0-05+AC0-26 18:18:38.925264,8.75,5,6014.686,0.94349,0.01062,1.27191,2801,#NAME?
12,2022+AC0-05+AC0-26 18:21:53.337282,9,5,6136.589,0.94566,0.01062,1.27108,2801,#NAME?
13,2022+AC0-05+AC0-26 18:25:05.322052,9.25,5,6268.488,0.94783,0.01062,1.27274,2801,#NAME?
14,2022+AC0-05+AC0-26 18:28:17.293964,9.5,5,6390.578,0.94845,0.01062,1.27191,2801,#NAME?
15,2022+AC0-05+AC0-26 18:31:29.267207,9.75,5,6522.99,0.95062,0.01062,1.27224,2801,#NAME?
16,2022+AC0-05+AC0-26 18:34:41.676274,10,5,6645.884,0.95155,0.01062,1.27258,2801,#NAME?
17,2022+AC0-05+AC0-26 19:00:53.322569,10.25,5,6779.422,0.95248,0.01062,1.27059,2801,#NAME?
18,2022+AC0-05+AC0-26 19:04:09.276209,10.5,7,5370.319,0.95465,0.01062,1.27208,2801,#NAME?
19,2022+AC0-05+AC0-26 19:07:21.320594,10.75,7,5458.983,0.95527,0.01062,1.27258,2801,#NAME?
20,2022+AC0-05+AC0-26 19:10:33.138066,11,7,5547.176,0.95651,0.01062,1.27175,2801,#NAME?
21,2022+AC0-05+AC0-26 19:13:48.294530,11.25,7,5645.182,0.95775,0.01062,1.27324,2801,#NAME?
22,2022+AC0-05+AC0-26 19:16:58.894667,11.5,7,5732.789,0.95806,0.01062,1.27241,2801,#NAME?
23,2022+AC0-05+AC0-26 19:20:10.891202,11.75,7,5830.186,0.95992,0.01062,1.27291,2801,#NAME?
24,2022+AC0-05+AC0-26 19:23:28.282693,12,7,5917.478,0.96023,0.01062,1.27324,2801,#NAME?
25,2022+AC0-05+AC0-26 19:26:38.079648,12.25,7,6014.58,0.96116,0.01062,1.27026,2801,#NAME?
26,2022+AC0-05+AC0-26 19:29:50.162713,12.5,7,6101.584,0.96147,0.01062,1.27291,2801,#NAME?
27,2022+AC0-05+AC0-26 19:32:59.895978,12.75,7,6188.69,0.96271,0.01021,1.27324,2801,#NAME?
28,2022+AC0-05+AC0-26 19:36:10.461154,13,7,6285.781,0.96209,0.01062,1.27241,2801,#NAME?
29,2022+AC0-05+AC0-26 19:39:21.467127,13.25,7,6372.981,0.96395,0.01021,1.27291,2801,#NAME?
30,2022+AC0-05+AC0-26 19:42:33.465003,13.5,9,5360.285,0.96426,0.01062,1.27456,2801,#NAME?
31,2022+AC0-05+AC0-26 19:47:23.270507,13.75,9,5429.287,0.96426,0.01062,1.27324,2801,#NAME?
32,2022+AC0-05+AC0-26 19:50:36.295779,14,9,5507.971,0.96457,0.01021,1.27241,2801,#NAME?
33,2022+AC0-05+AC0-26 19:53:48.866850,14.25,9,5576.58,0.96581,0.01021,1.27274,2801,#NAME?
34,2022+AC0-05+AC0-26 20:02:53.028818,14.5,9,5654.898,0.9655,0.01021,1.27307,2801,#NAME?
35,2022+AC0-05+AC0-26 20:06:08.677377,14.75,9,5723.089,0.96643,0.01021,1.27224,2801,#NAME?
36,2022+AC0-05+AC0-26 20:09:19.271185,15,9,5801.084,0.9655,0.01021,1.27274,2801,#NAME?
37,2022+AC0-05+AC0-26 20:15:48.894752,15.25,9,5869.016,0.96736,0.01021,1.27191,2801,#NAME?
38,2022+AC0-05+AC0-26 20:19:00.295454,15.5,9,5936.781,0.96767,0.01021,1.2744,2801,#NAME?
39,2022+AC0-05+AC0-26 20:22:11.340169,15.75,9,6014.582,0.96798,0.01021,1.27324,2801,#NAME?
40,2022+AC0-05+AC0-26 20:25:21.458844,16,9,6082.272,0.96829,0.01021,1.27357,2801,#NAME?
41,2022+AC0-05+AC0-26 20:44:55.432887,16,9,6080.822,0.96705,0.01021,1.2739,2801,#NAME?
42,2022+AC0-05+AC0-26 20:48:08.295772,16.25,9,6151.578,0.96736,0.01021,1.27059,2801,#NAME?
43,2022+AC0-05+AC0-26 20:51:19.185787,16.5,9,6222.372,0.9686,0.01021,1.27307,2801,#NAME?
44,2022+AC0-05+AC0-26 20:54:29.440022,16.75,9,6293.071,0.9686,0.01021,1.2734,2801,#NAME?
45,2022+AC0-05+AC0-26 20:57:40.251564,17,9,6363.785,0.96891,0.01021,1.2739,2801,#NAME?
46,2022+AC0-05+AC0-26 21:00:50.518897,17.25,9,6434.577,0.96891,0.01021,1.27307,2801,#NAME?
47,2022+AC0-05+AC0-26 21:04:02.294510,17.5,9,6505.384,0.96891,0.01021,1.2734,2801,#NAME?
48,2022+AC0-05+AC0-26 21:07:12.321971,17.75,9,6576.189,0.96984,0.01021,1.27258,2801,#NAME?
49,2022+AC0-05+AC0-26 21:10:23.435856,18,9,6647.188,0.96984,0.0098,1.27291,2801,#NAME?
50,2022+AC0-05+AC0-26 21:13:33.415060,18.25,9,6718.276,0.97046,0.0098,1.27224,2801,#NAME?
51,2022+AC0-05+AC0-26 21:16:43.339026,18.5,9,6789.372,0.97077,0.0098,1.27374,2801,#NAME?
52,2022+AC0-05+AC0-26 21:19:53.479120,18.75,9,6860.789,0.96891,0.0098,1.27423,2801,#NAME?
53,2022+AC0-05+AC0-26 21:23:03.448315,19,9,6932.185,0.97015,0.0098,1.27191,2801,#NAME?
54,2022+AC0-05+AC0-26 21:26:15.323178,19.25,9,7003.877,0.96984,0.0098,1.27224,2801,#NAME?
55,2022+AC0-05+AC0-26 21:29:26.446383,19.5,9,7075.785,0.97077,0.0098,1.27142,2801,#NAME?
56,2022+AC0-05+AC0-26 21:32:37.665737,19.75,9,7147.887,0.97108,0.0098,1.2739,2801,#NAME?
57,2022+AC0-05+AC0-26 21:35:47.678686,20,9,7220.189,0.97046,0.0098,1.27423,2801,#NAME?
58,2022+AC0-05+AC0-26 21:38:57.672682,20.25,9,7292.786,0.97077,0.0098,1.27092,2801,#NAME?
59,2022+AC0-05+AC0-26 21:42:09.438116,20.5,9,7365.675,0.97232,0.0098,1.2734,2801,#NAME?
60,2022+AC0-05+AC0-26 21:45:21.478741,20.75,9,7438.886,0.97139,0.0098,1.27374,2801,#NAME?
61,2022+AC0-05+AC0-26 21:48:31.321414,21,9,7512.384,0.9717,0.0098,1.27423,2801,#NAME?
62,2022+AC0-05+AC0-26 21:51:40.063375,21.25,9,7586.175,0.97077,#NAME?,1.27473,2801,#NAME?
63,2022+AC0-05+AC0-26 21:54:51.135794,21.5,9,7660.377,0.97325,#NAME?,1.27142,2801,#NAME?
64,2022+AC0-05+AC0-26 21:58:00.894601,21.75,9,7734.986,0.97294,#NAME?,1.27291,2801,#NAME?
65,2022+AC0-05+AC0-26 22:01:13.785954,22,9,7809.995,0.9717,0.01062,1.27324,2801,#NAME?
